"","Male","Bachelor","relfreq","religionlink","regionlink","moreno","province","ownchtrust","religion"
"450",0,0,1,3,3,2,"Alberta",99,"Other Christian"
"451",0,0,1,2,3,4,"Alberta",99,"Other"
"452",0,0,1,4,3,2,"Alberta",99,"Other"
"453",0,0,1,1,2,3,"Alberta",99,"Anglican"
"454",0,0,2,2,2,5,"Alberta",99,"Other Christian"
"455",1,0,1,2,4,2,"Alberta",6,"United Church"
"456",0,1,1,2,3,2,"Alberta",99,"Other Christian"
"457",0,0,99,1,3,3,"Alberta",99,"Non-religious"
"458",0,0,99,2,3,2,"Alberta",99,"Non-religious"
"459",0,0,99,2,3,4,"Alberta",99,"Non-religious"
"460",0,0,1,3,3,3,"British Columbia",5,"Catholic"
"461",0,1,3,1,1,3,"Alberta",99,"Other Christian"
"462",0,0,99,4,3,3,"Alberta",99,"Non-religious"
"463",1,0,1,2,2,2,"British Columbia",99,"Anglican"
"464",0,1,99,3,3,2,"British Columbia",99,"Non-religious"
"465",0,0,99,2,4,2,"Alberta",99,"Non-religious"
"466",0,0,1,2,2,2,"Alberta",99,"Other Christian"
"467",0,0,99,2,3,1,"Alberta",99,"Non-religious"
"468",0,0,99,3,3,3,"Alberta",99,"Non-religious"
"469",0,0,99,4,3,1,"Alberta",99,"Non-religious"
"470",0,0,1,4,3,5,"Alberta",99,"Other Christian"
"472",0,0,99,3,4,3,"Alberta",99,"Non-religious"
"473",0,0,2,3,3,4,"Alberta",5,"Catholic"
"474",0,1,1,2,3,2,"Alberta",8,"United Church"
"475",0,1,2,3,3,4,"Alberta",99,"Other Christian"
"476",0,0,4,3,3,1,"Alberta",99,"Other Christian"
"477",1,0,1,2,2,3,"Alberta",3,"Catholic"
"479",0,1,99,3,3,2,"Alberta",99,"Non-religious"
"480",0,0,2,3,3,2,"Alberta",99,"Other Christian"
"481",0,0,2,2,2,3,"Alberta",99,"Anglican"
"482",0,0,2,4,4,3,"Alberta",8,"United Church"
"483",0,0,99,1,2,3,"Alberta",99,"Non-religious"
"484",0,0,4,4,4,3,"Alberta",99,"Other Christian"
"485",0,0,2,1,3,4,"Alberta",99,"Other"
"486",0,0,99,3,3,4,"British Columbia",99,"Non-religious"
