"election_id","country","year","party_name","vote_share","seats","seats_total","left_right","state_market","liberty_authority","halfdecade","party_family"
34,"Ireland",1994,"Sinn Fein The Workers' Party",1.94,0,15,1.3,1.4,3,"(1989,1994]","Communist/Socialist"
34,"Ireland",1994,"Progressive Democrats",6.48,0,15,8.0109,8.3901,3.7011,"(1989,1994]","Liberal"
34,"Ireland",1994,"Fine Gael (Familiy of the Irish)",24.27,4,15,6.4372,6.1603,5.787,"(1989,1994]","Christian democracy"
34,"Ireland",1994,"Green Party",7.92,2,15,2.435,2.462,2.1754,"(1989,1994]","Green/Ecologist"
34,"Ireland",1994,"Democratic Left",3.49,0,15,1.8889,1.4,3,"(1989,1994]","Communist/Socialist"
34,"Ireland",1994,"Sinn Fein",2.97,0,15,2.7935,2.0316,4.5005,"(1989,1994]","Communist/Socialist"
34,"Ireland",1994,"Independent -- Pat Cox",2.45,1,15,6,6.7,3.5,"(1989,1994]","Liberal"
36,"Iceland",2009,"Left-Green Movement",21.7,14,63,1.1842,1.4474,1.6667,"(2004,2009]","Green/Ecologist"
36,"Iceland",2009,"Liberal Party",2.2,0,63,6.2201,5.5981,3,"(2004,2009]","Liberal"
36,"Iceland",2009,"Civic Movement -- The Movement",7.2,4,63,6,6.7,3.5,"(2004,2009]","Liberal"
